         1310224 function calls (1295341 primitive calls) in 2.278 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(_fix_up_module)
      524    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      307    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      642    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      786    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      262    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     3326    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      323    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     3326    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    262/3    0.001    0.000    0.482    0.161 <frozen importlib._bootstrap_external>:722(exec_module)
     1330    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      262    0.003    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      426    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
