         1310224 function calls (1295341 primitive calls) in 2.278 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 backend_tools.py:737(ToolHome)
        1    0.000    0.000    0.000    0.000 backend_tools.py:746(ToolBack)
        1    0.000    0.000    0.000    0.000 backend_tools.py:755(ToolForward)
        1    0.000    0.000    0.000    0.000 backend_tools.py:764(ConfigureSubplotsBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:771(SaveFigureBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:779(ZoomPanBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:843(ToolZoom)
        1    0.000    0.000    0.000    0.000 backend_tools.py:969(ToolPan)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:11(NonIntersectingPathException)
        1    0.000    0.000    0.000    0.000 bezier.py:168(BezierSegment)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:100(BlockingMouseInput)
        1    0.000    0.000    0.000    0.000 blocking_input.py:20(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:267(BlockingContourLabeler)
        1    0.000    0.000    0.000    0.000 blocking_input.py:31(BlockingInput)
        1    0.000    0.000    0.000    0.000 blocking_input.py:326(BlockingKeyMouseInput)
        1    0.000    0.000    0.000    0.000 bz2.py:28(BZ2File)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        1    0.000    0.000    0.006    0.006 category.py:11(<module>)
        1    0.000    0.000    0.000    0.000 category.py:113(StrCategoryLocator)
        1    0.000    0.000    0.000    0.000 category.py:130(StrCategoryFormatter)
        1    0.000    0.000    0.000    0.000 category.py:162(UnitData)
        1    0.000    0.000    0.000    0.000 category.py:26(StrCategoryConverter)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1966(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 cm.py:141(ScalarMappable)
        1    0.000    0.000    0.011    0.011 cm.py:16(<module>)
        1    0.000    0.000    0.009    0.009 cm.py:52(_gen_cmap_d)
       29    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       29    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       97    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.038    0.038 collections.py:10(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1052(PolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1119(BrokenBarHCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1166(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1230(StarPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1235(AsteriskPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1240(LineCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1431(EventCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1679(CircleCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1698(EllipseCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1790(PatchCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1845(TriMesh)
        1    0.000    0.000    0.000    0.000 collections.py:1909(QuadMesh)
        1    0.000    0.000    0.000    0.000 collections.py:22(Collection)
        1    0.000    0.000    0.000    0.000 collections.py:850(_CollectionWithSizes)
        1    0.000    0.000    0.000    0.000 collections.py:898(PathCollection)
        1    0.000    0.000    0.000    0.000 colorbar.py:1190(Colorbar)
        1    0.000    0.000    0.000    0.000 colorbar.py:1605(ColorbarPatch)
        1    0.000    0.000    0.102    0.102 colorbar.py:20(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:219(_ColorbarAutoLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:252(_ColorbarAutoMinorLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:279(_ColorbarLogLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:313(_ColorbarMappableDummy)
        1    0.000    0.000    0.000    0.000 colorbar.py:353(ColorbarBase)
        1    0.000    0.000    0.000    0.000 colors.py:101(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:1063(TwoSlopeNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1133(DivergingNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1138(LogNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1202(SymLogNorm)
     1170    0.001    0.000    0.003    0.000 colors.py:123(_is_nth_color)
      451    0.000    0.000    0.006    0.000 colors.py:128(is_color_like)
        1    0.000    0.000    0.000    0.000 colors.py:1329(PowerNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1380(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1464(NoNorm)
      719    0.001    0.000    0.009    0.000 colors.py:157(to_rgba)
        1    0.000    0.000    0.000    0.000 colors.py:1624(LightSource)
      371    0.002    0.000    0.006    0.000 colors.py:193(_to_rgba_no_colorcycle)
      432    0.000    0.000    0.000    0.000 colors.py:225(<genexpr>)
     1260    0.001    0.000    0.001    0.000 colors.py:277(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:370(ColorConverter)
        1    0.000    0.000    0.000    0.000 colors.py:494(Colormap)
      164    0.000    0.000    0.000    0.000 colors.py:506(__init__)
        1    0.000    0.000    0.002    0.002 colors.py:66(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:699(LinearSegmentedColormap)
      126    0.000    0.000    0.000    0.000 colors.py:708(__init__)
       32    0.001    0.000    0.007    0.000 colors.py:782(from_list)
        1    0.000    0.000    0.000    0.000 colors.py:79(_ColorMapping)
        1    0.000    0.000    0.000    0.000 colors.py:80(__init__)
       63    0.000    0.000    0.001    0.000 colors.py:824(reversed)
       63    0.000    0.000    0.001    0.000 colors.py:843(<dictcomp>)
      188    0.001    0.000    0.001    0.000 colors.py:845(<listcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:851(ListedColormap)
       38    0.000    0.000    0.000    0.000 colors.py:879(__init__)
       19    0.000    0.000    0.000    0.000 colors.py:916(reversed)
        1    0.000    0.000    0.000    0.000 colors.py:938(Normalize)
        1    0.000    0.000    0.000    0.000 colors.py:96(<dictcomp>)
        1    0.000    0.000    0.000    0.000 commondialog.py:11(<module>)
        1    0.000    0.000    0.000    0.000 commondialog.py:13(Dialog)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:103(StemContainer)
        1    0.000    0.000    0.000    0.000 container.py:46(BarContainer)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
        1    0.000    0.000    0.000    0.000 container.py:71(ErrorbarContainer)
       32    0.000    0.000    0.002    0.000 contextlib.py:107(__enter__)
       32    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
       13    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       32    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:58(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:70(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
       32    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        1    0.000    0.000    0.000    0.000 contour.py:1377(QuadContourSet)
        1    0.000    0.000    0.050    0.050 contour.py:3(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:35(ClabelText)
        1    0.000    0.000    0.000    0.000 contour.py:48(ContourLabeler)
        1    0.000    0.000    0.000    0.000 contour.py:676(ContourSet)
      410    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
      410    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
       18    0.000    0.000    0.000    0.000 core.py:1003(__init__)
        1    0.000    0.000    0.000    0.000 core.py:1131(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1152(__init__)
        1    0.000    0.000    0.023    0.023 core.py:12(<module>)
        4    0.000    0.000    0.000    0.000 core.py:122(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1289(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1321(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1335(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1368(getmask)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
        1    0.000    0.000    0.023    0.023 core.py:156(load_base_library)
        1    0.000    0.000    0.000    0.000 core.py:162(MAError)
        1    0.000    0.000    0.000    0.000 core.py:162(iter_user_libraries)
        1    0.000    0.000    0.000    0.000 core.py:169(update_user_library)
        1    0.000    0.000    0.000    0.000 core.py:170(MaskError)
        1    0.000    0.000    0.023    0.023 core.py:188(read_style_directory)
        1    0.000    0.000    0.000    0.000 core.py:202(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:204(<listcomp>)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:221(reload_library)
        1    0.000    0.000    0.000    0.000 core.py:2389(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2395(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2562(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2607(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2782(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2912(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2938(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3087(view)
        4    0.000    0.000    0.000    0.000 core.py:3363(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3379(shape)
        1    0.000    0.000    0.000    0.000 core.py:6152(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6348(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6352(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6358(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6376(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6440(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6532(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6541(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6649(_frommethod)
       26    0.000    0.000    0.001    0.000 core.py:6660(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7983(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7996(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8001(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:803(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:812(__init__)
        1    0.000    0.000    0.000    0.000 core.py:828(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:836(__init__)
        1    0.000    0.000    0.000    0.000 core.py:846(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:852(__init__)
        1    0.000    0.000    0.000    0.000 core.py:867(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:873(__init__)
        1    0.000    0.000    0.000    0.000 core.py:883(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 core.py:899(_MaskedUFunc)
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
        1    0.000    0.000    0.000    0.000 core.py:909(_MaskedUnaryOperation)
        1    0.000    0.000    0.000    0.000 core.py:91(MaskedArrayFutureWarning)
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
        1    0.000    0.000    0.000    0.000 core.py:983(_MaskedBinaryOperation)
        1    0.000    0.000    0.000    0.000 csv.py:131(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:166(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:24(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:55(excel)
        1    0.000    0.000    0.000    0.000 csv.py:65(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:70(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:81(DictReader)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:179(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:200(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
       90    0.000    0.000    0.000    0.000 cycler.py:138(keys)
       18    0.000    0.000    0.000    0.000 cycler.py:145(change_key)
       16    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
      130    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
       18    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
      152    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       18    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
       36    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.001    0.001 cycler.py:41(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
       16    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
       16    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
        1    0.000    0.000    0.000    0.000 cycler.py:77(Cycler)
        1    0.000    0.000    0.000    0.000 dates.py:1048(DateLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1133(RRuleLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1239(AutoDateLocator)
        1    0.000    0.000    0.002    0.002 dates.py:133(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1487(YearLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1570(MonthLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1595(WeekdayLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1623(DayLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1649(HourLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1669(MinuteLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1689(SecondLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1709(MicrosecondLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1887(DateConverter)
        1    0.000    0.000    0.000    0.000 dates.py:1943(ConciseDateConverter)
        1    0.000    0.000    0.000    0.000 dates.py:312(strpdate2num)
        1    0.000    0.000    0.000    0.000 dates.py:340(bytespdate2num)
        1    0.000    0.000    0.000    0.000 dates.py:586(DateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:620(IndexDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:642(ConciseDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:840(AutoDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:943(rrulewrapper)
        1    0.000    0.000    0.000    0.000 datetime.py:1092(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1162(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1187(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2156(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:426(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:454(timedelta)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        2    0.000    0.000    0.000    0.000 datetime.py:646(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        2    0.000    0.000    0.000    0.000 datetime.py:804(__new__)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        2    0.000    0.000    0.001    0.001 decoder.py:332(decode)
        2    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.007    0.007 defchararray.py:17(<module>)
        1    0.001    0.001    0.001    0.001 defchararray.py:1810(chararray)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:74(matrix)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
      136    0.000    0.000    0.000    0.000 deprecation.py:114(deprecated)
      136    0.001    0.000    0.004    0.000 deprecation.py:172(deprecate)
       16    0.000    0.000    0.000    0.000 deprecation.py:182(finalize)
       15    0.000    0.000    0.000    0.000 deprecation.py:196(_deprecated_property)
       15    0.000    0.000    0.000    0.000 deprecation.py:215(finalize)
      105    0.000    0.000    0.001    0.000 deprecation.py:226(finalize)
      153    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
       20    0.000    0.000    0.001    0.000 deprecation.py:258(_rename_parameter)
        1    0.000    0.000    0.000    0.000 deprecation.py:306(_deprecated_parameter_class)
       20    0.000    0.000    0.001    0.000 deprecation.py:314(_delete_parameter)
       10    0.000    0.000    0.000    0.000 deprecation.py:343(<listcomp>)
       16    0.000    0.000    0.001    0.000 deprecation.py:363(_make_keyword_only)
        8    0.000    0.000    0.000    0.000 deprecation.py:385(<listcomp>)
        8    0.000    0.000    0.000    0.000 deprecation.py:388(<listcomp>)
       10    0.000    0.000    0.000    0.000 deprecation.py:405(_suppress_matplotlib_deprecation_warning)
       17    0.000    0.000    0.001    0.000 deprecation.py:56(warn_deprecated)
        1    0.000    0.000    0.000    0.000 deprecation.py:7(MatplotlibDeprecationWarning)
        1    0.000    0.000    0.000    0.000 dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 dialog.py:9(Dialog)
        1    0.000    0.000    0.000    0.000 dielectrics.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:199(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:461(Bytecode)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
       91    0.000    0.000    0.000    0.000 docstring.py:101(do_copy)
       82    0.000    0.000    0.006    0.000 docstring.py:113(dedent_interpd)
        4    0.000    0.000    0.000    0.000 docstring.py:33(__init__)
       86    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
       45    0.000    0.000    0.000    0.000 docstring.py:43(update)
        1    0.000    0.000    0.000    0.000 docstring.py:6(Substitution)
        1    0.000    0.000    0.000    0.000 docstring.py:62(Appender)
       91    0.000    0.000    0.000    0.000 docstring.py:99(copy)
       24    0.000    0.000    0.000    0.000 dviread.py:123(_dispatch)
       24    0.000    0.000    0.000    0.000 dviread.py:154(decorate)
       24    0.000    0.000    0.000    0.000 dviread.py:155(<listcomp>)
        1    0.000    0.000    0.000    0.000 dviread.py:172(Dvi)
        1    0.000    0.000    0.001    0.001 dviread.py:18(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:489(DviFont)
        1    0.000    0.000    0.000    0.000 dviread.py:574(Vf)
        1    0.000    0.000    0.000    0.000 dviread.py:699(Tfm)
        1    0.000    0.000    0.000    0.000 dviread.py:754(PsfontsMap)
        1    0.000    0.000    0.000    0.000 dviread.py:920(Encoding)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
       13    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
       13    0.002    0.000    0.004    0.000 enum.py:135(__new__)
       13    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
       13    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
      158    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       33    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
      196    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
     2280    0.002    0.000    0.006    0.000 enum.py:284(__call__)
       13    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
      196    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        7    0.000    0.000    0.000    0.000 enum.py:360(__members__)
      240    0.000    0.000    0.001    0.000 enum.py:376(__setattr__)
        8    0.000    0.000    0.004    0.000 enum.py:389(_create_)
       34    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
       34    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       13    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
     2272    0.001    0.000    0.001    0.000 enum.py:526(__new__)
        5    0.000    0.000    0.000    0.000 enum.py:566(_generate_next_value_)
       50    0.000    0.000    0.000    0.000 enum.py:623(name)
       25    0.000    0.000    0.000    0.000 enum.py:628(value)
        7    0.000    0.000    0.005    0.001 enum.py:633(_convert)
       13    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        7    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
       96    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      196    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
        4    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
        4    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        6    0.000    0.000    0.000    0.000 enum.py:830(__or__)
      175    0.001    0.000    0.001    0.000 enum.py:836(__and__)
       10    0.000    0.000    0.000    0.000 enum.py:855(_high_bit)
        4    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        4    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:901(<lambda>)
       14    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1474(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1504(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1522(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:217(_fromnxfunction)
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:272(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:290(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:303(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:328(_fromnxfunction_allargs)
        1    0.000    0.000    0.096    0.096 figure.py:12(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:159(AxesStack)
        1    0.000    0.000    0.000    0.000 figure.py:164(SubplotParams)
        1    0.000    0.000    0.001    0.001 figure.py:245(Figure)
        1    0.000    0.000    0.000    0.000 figure.py:50(_AxesStack)
        1    0.000    0.000    0.002    0.002 figureoptions.py:6(<module>)
        1    0.000    0.000    0.000    0.000 filedialog.py:13(<module>)
        1    0.000    0.000    0.000    0.000 filedialog.py:225(LoadFileDialog)
        1    0.000    0.000    0.000    0.000 filedialog.py:239(SaveFileDialog)
        1    0.000    0.000    0.000    0.000 filedialog.py:26(FileDialog)
        1    0.000    0.000    0.000    0.000 filedialog.py:297(_Dialog)
        1    0.000    0.000    0.000    0.000 filedialog.py:325(Open)
        1    0.000    0.000    0.000    0.000 filedialog.py:344(SaveAs)
        1    0.000    0.000    0.000    0.000 filedialog.py:351(Directory)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.004    0.004 font_manager.py:14(<module>)
        1    0.000    0.000    0.000    0.000 font_manager.py:327(FontEntry)
        1    0.000    0.000    0.000    0.000 font_manager.py:563(FontProperties)
        1    0.000    0.000    0.000    0.000 font_manager.py:866(_JSONEncoder)
        1    0.000    0.000    0.000    0.000 font_manager.py:884(JSONEncoder)
      177    0.000    0.000    0.001    0.000 font_manager.py:889(_json_decode)
        1    0.000    0.000    0.002    0.002 font_manager.py:928(json_load)
        1    0.000    0.000    0.000    0.000 font_manager.py:946(FontManager)
        9    0.000    0.000    0.003    0.000 fontconfig_pattern.py:122(parse)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:141(_family)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:147(_name)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:153(_families)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:154(<listcomp>)
        4    0.000    0.000    0.000    0.000 fontconfig_pattern.py:161(_property)
        1    0.000    0.000    0.000    0.000 fontconfig_pattern.py:30(FontconfigPatternParser)
        1    0.000    0.000    0.027    0.027 fontconfig_pattern.py:6(<module>)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:65(__init__)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
     1800    0.000    0.000    0.000    0.000 fromnumeric.py:1689(_ravel_dispatcher)
     1800    0.003    0.000    0.011    0.000 fromnumeric.py:1693(ravel)
     1800    0.000    0.000    0.000    0.000 fromnumeric.py:2087(_sum_dispatcher)
     1800    0.004    0.000    0.023    0.000 fromnumeric.py:2092(sum)
